#x y z mass
#[Mpc/h] [Mpc/h] [Mpc/h] [Msun/h]
39.3108 138.6314 30.8889 0.9767E+14
66.7761 15.5286 163.8870 0.9703E+14
152.3086 13.8786 158.7658 0.9691E+14
34.0881 107.8521 44.0662 0.9678E+14
63.5621 117.0047 50.8091 0.9621E+14
129.7133 146.5187 184.6644 0.9601E+14
16.3379 109.3172 138.9393 0.9595E+14
89.2170 58.5434 38.3229 0.9591E+14
72.8261 195.6550 47.2843 0.9586E+14
151.7312 128.2464 190.4402 0.9584E+14
125.3325 56.4133 71.2822 0.9539E+14
166.2997 197.2040 64.3517 0.9497E+14
139.2617 46.8486 142.4017 0.9496E+14
174.7952 68.0561 15.2560 0.9493E+14
14.2117 71.2641 176.8615 0.9483E+14
44.1861 35.7819 35.0963 0.9460E+14
23.2004 158.8649 182.5845 0.9388E+14
22.7555 156.7004 138.3447 0.9383E+14
61.5419 37.1448 19.7756 0.9360E+14
145.4720 62.1888 120.6297 0.9344E+14
115.3973 195.6443 127.7541 0.9314E+14
116.7703 100.5186 5.9693 0.9297E+14
89.5981 170.7502 28.3371 0.9288E+14
90.1602 189.1731 46.2540 0.9271E+14
91.5588 113.4022 5.5279 0.9268E+14
157.0407 28.7329 159.8335 0.9147E+14
152.4505 64.6074 85.9978 0.9114E+14
195.5718 45.5699 169.2961 0.9102E+14
57.2844 179.1908 194.6393 0.9100E+14
65.9133 78.6818 84.0991 0.9097E+14
96.5661 77.6214 170.6762 0.9091E+14
153.1271 188.8013 12.0220 0.9037E+14
151.2143 171.7875 42.3087 0.9035E+14
142.4393 59.7953 98.3158 0.9020E+14
125.9291 83.9993 96.3079 0.8997E+14
8.1088 74.6584 83.1944 0.8994E+14
16.2022 15.2424 42.2386 0.8985E+14
140.6421 21.4792 156.5628 0.8979E+14
157.8821 132.4958 158.4715 0.8967E+14
93.2361 149.4584 1.9682 0.8949E+14
165.7464 147.6316 66.7312 0.8938E+14
11.2770 26.3710 36.3319 0.8928E+14
83.4738 45.9089 107.4067 0.8911E+14
19.8603 163.9331 30.7763 0.8897E+14
11.1911 106.8546 43.3928 0.8868E+14
128.2025 86.3620 125.3594 0.8862E+14
38.6564 33.1107 28.0716 0.8833E+14
186.2384 57.0729 161.3982 0.8828E+14
54.8996 178.5634 130.0078 0.8825E+14
67.5588 15.1685 52.4124 0.8800E+14
9.1477 81.6744 124.0805 0.8791E+14
8.0436 115.2632 28.4837 0.8782E+14
8.5453 115.9135 32.9250 0.8739E+14
18.3750 157.7053 29.1378 0.8717E+14
161.8009 120.3926 179.1335 0.8704E+14
99.6583 81.1205 112.6625 0.8704E+14
5.8190 125.7047 65.9811 0.8690E+14
80.8845 174.3580 192.0513 0.8683E+14
48.2906 99.8411 198.9215 0.8677E+14
186.7091 126.8408 24.0588 0.8631E+14
61.7731 99.4274 60.3763 0.8621E+14
135.7826 46.6130 86.7386 0.8615E+14
134.7958 74.2877 58.3739 0.8614E+14
37.0732 120.9859 41.2786 0.8613E+14
40.6742 76.8147 174.5400 0.8559E+14
21.7504 136.0892 100.9155 0.8551E+14
63.9536 120.5612 78.1141 0.8549E+14
68.3427 18.4632 41.6180 0.8539E+14
55.9982 149.3894 148.4506 0.8522E+14
15.0083 130.7792 67.8347 0.8507E+14
16.3233 6.2189 141.6732 0.8478E+14
35.7670 165.3020 13.5386 0.8478E+14
66.7761 12.7004 32.3158 0.8444E+14
134.1669 169.6949 13.3220 0.8425E+14
42.5085 170.3360 167.2210 0.8403E+14
168.6543 67.1942 119.6981 0.8277E+14
58.0305 136.1415 47.3507 0.8243E+14
157.3965 164.0089 39.7631 0.8236E+14
71.3932 169.8931 23.9145 0.8218E+14
83.7088 67.1112 57.6438 0.8214E+14
131.7291 160.3918 48.2878 0.8170E+14
49.0002 177.4057 82.1313 0.8152E+14
51.9995 177.8346 6.5842 0.8151E+14
8.9804 86.9531 186.8900 0.8147E+14
15.4167 140.2372 27.4557 0.8135E+14
7.2229 189.5689 168.3255 0.8134E+14
90.6627 123.5810 78.4469 0.8125E+14
38.6454 77.3983 38.7408 0.8110E+14
47.9728 107.9585 185.2113 0.8091E+14
143.4160 32.5710 145.6687 0.8039E+14
84.8063 147.5460 180.8126 0.7990E+14
78.3960 53.5366 97.2992 0.7985E+14
75.3375 117.0420 63.9097 0.7981E+14
112.7047 55.9062 20.7892 0.7949E+14
5.5885 199.4200 176.9427 0.7879E+14
70.7605 144.5557 186.0076 0.7875E+14
68.7571 42.9776 195.7588 0.7867E+14
37.8731 123.7276 110.8078 0.7858E+14
44.3894 80.0425 55.4986 0.7832E+14
171.9894 127.9022 15.9405 0.7818E+14
82.8969 108.4277 42.8732 0.7796E+14
123.7139 87.3536 118.3803 0.7781E+14
92.8783 173.5259 191.7837 0.7765E+14
49.2604 154.1710 171.3631 0.7765E+14
130.5189 58.9939 176.6756 0.7758E+14
77.5950 8.1803 88.7636 0.7755E+14
118.5679 194.5430 127.5735 0.7741E+14
178.5542 114.5321 178.6182 0.7740E+14
2.1424 161.3241 43.6271 0.7735E+14
154.0343 121.2432 134.4281 0.7722E+14
11.3668 90.5659 1.0502 0.7704E+14
126.6612 86.9978 123.0125 0.7702E+14
161.7822 72.1004 128.4927 0.7689E+14
150.6105 12.4619 38.7477 0.7672E+14
115.1288 77.3399 114.6928 0.7663E+14
37.1271 184.5801 175.0964 0.7642E+14
131.4291 165.7339 21.7897 0.7589E+14
180.1020 71.6543 22.3615 0.7588E+14
175.7970 43.7414 18.6640 0.7586E+14
178.7741 134.6410 30.5861 0.7584E+14
184.0964 47.2830 132.1019 0.7583E+14
184.8548 70.4098 183.3991 0.7581E+14
147.0221 134.4778 36.0361 0.7572E+14
2.2490 138.2435 109.4930 0.7564E+14
